Minister of Defence,Office of the Chief of Defence Staff
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",GSMB Technical Services (Pvt) Ltd.
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Sri Lanka Climate Fund (Pvt) Ltd
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Marine Environment Protection Authority
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Department of Coast Conservation and Coastal Resource Management
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Department of Forest Conservation
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Department of Wildlife Conservation
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Department of National Zoological Gardens
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",State Timber Corporation
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",National Water Supply and Drainage Board
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Water Resources Board
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Department of National Community Water Supply
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",New Villages Development Authority for Plantation Region
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Plantation Human Development Trust
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Saumyamoorthi Thondaman Memorial Foundation
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Estate Sector Self-Employment Revolving Fund
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",National Institute of Plantation Management
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Sri Lanka Tea Board
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Tea Small Holdings Development Authority
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Tea Research Institute
"Minister of Environment, Wildlife, Forest Resources, Water Supply, Plantation and Community Infrastructure",Tea and Rubber Estates (Control of Fragmentation) Board
"Minister of Rural and Urban Development, Housing and Construction",Urban Development Authority
"Minister of Rural and Urban Development, Housing and Construction",Urban Settlement Development Authority
"Minister of Rural and Urban Development, Housing and Construction",Selendiva Investments Limited
"Minister of Rural and Urban Development, Housing and Construction",Hotel Developers (Lanka) PLC
"Minister of Rural and Urban Development, Housing and Construction",National Physical Planning Department
"Minister of Rural and Urban Development, Housing and Construction",Condominium Management Authority
"Minister of Rural and Urban Development, Housing and Construction",Sri Lanka Land Development Corporation
"Minister of Rural and Urban Development, Housing and Construction",National Housing Development Authority
"Minister of Rural and Urban Development, Housing and Construction",Building Material Corporation Limited
"Minister of Rural and Urban Development, Housing and Construction",Department of Buildings
"Minister of Rural and Urban Development, Housing and Construction",Department of Government Factories
"Minister of Rural and Urban Development, Housing and Construction",Construction Industry Development Authority
"Minister of Rural and Urban Development, Housing and Construction",Ocean View Development (Pvt) Ltd.
"Minister of Rural and Urban Development, Housing and Construction",State Engineering Corporation
"Minister of Rural and Urban Development, Housing and Construction",National Equipment and Machinery Organization
