Minister of Defence,Office of the Chief of Defence Staff
"Minister of Education, Science and Technology",Sri Lanka Inventors' Commission
"Minister of Education, Science and Technology",National Engineering Research And Development Centre
"Minister of Education, Science and Technology",National Research Council of Sri Lanka
"Minister of Education, Science and Technology",National Science Foundation
"Minister of Education, Science and Technology",Planetarium of Sri Lanka
"Minister of Education, Science and Technology",Arthur C. Clarke Institute for Modern Technologies
"Minister of Education, Science and Technology",National Innovation Agency
"Minister of Education, Science and Technology",Skills Development Fund Ltd.
"Minister of Education, Science and Technology",Sri Lanka Inventors Fund
"Minister of Education, Science and Technology",National Science and Technology Commission
"Minister of Education, Science and Technology",Sri Lanka Institute of Nanotechnology (Pvt) Ltd.
"Minister of Education, Science and Technology",Sri Lanka Institute of Biotechnology (Pvt) Ltd.
"Minister of Education, Science and Technology",Sri Lanka Telecom and its Subsidiaries and Allied Institutions
"Minister of Education, Science and Technology",Information and Communication Technology Agency and Allied Institutions
"Minister of Education, Science and Technology",Sri Lanka Computer Emergency Readiness Team
"Minister of Education, Science and Technology",Sri Lanka Standards Institute
"Minister of Education, Science and Technology",Centre of Excellence for Robotic applications
"Minister of Education, Science and Technology",Data Protection Authority of Sri Lanka
"Minister of Education, Science and Technology",Information Technology Parks
"Minister of Women, Child and Youth Affairs and Sports",National Committee on Women
"Minister of Women, Child and Youth Affairs and Sports",Sri Lanka Women's Bureau
"Minister of Women, Child and Youth Affairs and Sports",Department of Probation and Childcare Services
"Minister of Women, Child and Youth Affairs and Sports",National Child Protection Authority
"Minister of Women, Child and Youth Affairs and Sports",National Secretariat for Early Childhood Development
"Minister of Women, Child and Youth Affairs and Sports",National Youth Services Council
"Minister of Women, Child and Youth Affairs and Sports",National Youth Corps
"Minister of Women, Child and Youth Affairs and Sports",National Youth Services Cooperative Society Limited
"Minister of Women, Child and Youth Affairs and Sports",National Centre for Leadership Development
"Minister of Women, Child and Youth Affairs and Sports",Department of Sports Development
"Minister of Women, Child and Youth Affairs and Sports",National Sports Council
"Minister of Women, Child and Youth Affairs and Sports",National Institute of Sports Science
"Minister of Women, Child and Youth Affairs and Sports",Sugathadasa National Sports Complex Authority
"Minister of Women, Child and Youth Affairs and Sports",Institute of Sports Medicine
"Minister of Women, Child and Youth Affairs and Sports",Sri Lanka Anti-doping Agency
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Department of Commerce
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Lanka Sathosa Ltd.
