Minister of Defence,Office of the Chief of Defence Staff
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Co-operative Wholesale Establishment
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Mahapola Trust Fund
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Sri Lanka Accreditation Board for Conformity Assessment
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development","Department of Measurement Units, Standards and Services"
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Regional Economic Centers
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",National Intellectual Property Office of Sri Lanka
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Consumer Affairs Authority
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Department of Co-operative Development (Registrar of Co-operative Societies)
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Co-operative Employees Commission
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",National Institute of Co-operative Development
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Ceylon Industrial Development Board
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Lanka Leyland Ltd.
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",National Paper Corporation Ltd.
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Lanka Cement Ltd.
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Kahatagaha Graphite Lanka Ltd.
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Ceylon Ceramics Corporation (Brick and Tiles Division)
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",National Enterprise Development Authority
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Lanka Mineral Sands Company
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Small and Medium Enterprises Venture Capital Company
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Small and Medium Enterprises Authority
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Timber-related Design Centre
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",National Crafts Council
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Department of Textile Industries
"Minister of Trade, Commerce, Food Security, Co-operative Development, Industry and Entrepreneurship Development",Sri Lanka Institute of Textile and Apparels
